posting_id,job_title,company,location,description,source,date_collected,description_cleaned,skills_extracted,skill_categories,skill_count
1,Data Science Intern,Northstar Analytics,"Phoenix, AZ","Support exploratory data analysis and build dashboards for business teams. Candidates should know Python, pandas, SQL, statistics, and Git. Experience presenting findings clearly is preferred.",Synthetic starter dataset,8/23/2026,support exploratory data analysis and build dashboards for business teams candidates should know python pandas sql statistics and git experience presenting findings clearly is preferred,Python|SQL|Pandas|Statistics|Git|Presentation,Programming Languages|Data Tools|Statistics and Math|Engineering and Cloud|Soft Skills,6
2,Data Analyst Intern,Desert Bloom Health,"Tempe, AZ","Clean healthcare operations data; create Excel and Power BI reports; and communicate trends to stakeholders. Familiarity with SQL, data visualization, and basic statistics is required.",Synthetic starter dataset,8/23/2026,clean healthcare operations data create excel and power bi reports and communicate trends to stakeholders familiarity with sql data visualization and basic statistics is required,SQL|Excel|Power BI|Statistics|Communication,Programming Languages|Data Tools|Statistics and Math|Soft Skills,5
3,Machine Learning Intern,Juniper AI,Remote,"Prototype machine learning models using Python and scikit-learn. Work includes feature engineering, model evaluation, Jupyter notebooks, and collaboration with software engineers.",Synthetic starter dataset,8/23/2026,prototype machine learning models using python and scikit learn work includes feature engineering model evaluation jupyter notebooks and collaboration with software engineers,Python|Jupyter|Machine Learning|Scikit-learn|Feature Engineering|Model Evaluation|Collaboration,Programming Languages|Data Tools|Machine Learning|Soft Skills,7
4,Business Intelligence Intern,Copper State Retail,"Scottsdale, AZ","Build Tableau dashboards and write SQL queries to track sales performance. Strong Excel skills, attention to detail, and experience explaining metrics are valued.",Synthetic starter dataset,8/23/2026,build tableau dashboards and write sql queries to track sales performance strong excel skills attention to detail and experience explaining metrics are valued,SQL|Excel|Tableau|Communication|Attention to Detail,Programming Languages|Data Tools|Soft Skills,5
5,Data Engineering Intern,MesaWorks,"Mesa, AZ","Help develop ETL pipelines using Python and SQL. Learn cloud data workflows, data quality testing, Git, and dimensional modeling while working with the analytics team.",Synthetic starter dataset,8/23/2026,help develop etl pipelines using python and sql learn cloud data workflows data quality testing git and dimensional modeling while working with the analytics team,Python|SQL|Git|ETL|Data Quality,Programming Languages|Engineering and Cloud,5
6,Product Analytics Intern,Orbit Learning,Remote,"Analyze user behavior and product experiments with SQL, Python, and A/B testing. Create clear visualizations and summarize recommendations for product managers.",Synthetic starter dataset,8/23/2026,analyze user behavior and product experiments with sql python and ab testing create clear visualizations and summarize recommendations for product managers,Python|SQL|A/B Testing,Programming Languages|Statistics and Math,3
7,Research Data Intern,Sonoran Research Institute,"Tucson, AZ","Prepare research datasets and perform statistical analysis in R or Python. Experience with Excel, regression, data documentation, and written communication is helpful.",Synthetic starter dataset,8/23/2026,prepare research datasets and perform statistical analysis in r or python experience with excel regression data documentation and written communication is helpful,Python|R|Excel|Statistics|Regression|Communication,Programming Languages|Data Tools|Statistics and Math|Soft Skills,6
8,Marketing Analytics Intern,Cactus Creative,"Phoenix, AZ","Measure campaign performance using Excel, SQL, and Google Analytics. Build recurring dashboards and present insights to marketing partners. Tableau or Power BI experience is a plus.",Synthetic starter dataset,8/23/2026,measure campaign performance using excel sql and google analytics build recurring dashboards and present insights to marketing partners tableau or power bi experience is a plus,SQL|Excel|Tableau|Power BI|Presentation,Programming Languages|Data Tools|Soft Skills,5
9,Operations Data Intern,Sunline Logistics,"Chandler, AZ","Clean shipment data, automate weekly reports with Python, and analyze operational trends using SQL and Excel. Candidates should be organized and comfortable collaborating across teams.",Synthetic starter dataset,8/23/2026,clean shipment data automate weekly reports with python and analyze operational trends using sql and excel candidates should be organized and comfortable collaborating across teams,Python|SQL|Excel|Collaboration,Programming Languages|Data Tools|Soft Skills,4
10,AI Engineering Intern,Prism Robotics,"Gilbert, AZ","Assist with NLP prototypes in Python using PyTorch and transformer libraries. Responsibilities include preparing training data, evaluating models, and documenting experiments with Git.",Synthetic starter dataset,8/23/2026,assist with nlp prototypes in python using pytorch and transformer libraries responsibilities include preparing training data evaluating models and documenting experiments with git,Python|NLP|PyTorch|Model Evaluation|Git,Programming Languages|Machine Learning|Engineering and Cloud,5
11,Financial Data Analyst Intern,Summit FinTech,Remote,"Use Python, SQL, and Excel to analyze financial datasets and automate reporting. Knowledge of probability, statistics, Plotly, and careful data validation is preferred.",Synthetic starter dataset,8/23/2026,use python sql and excel to analyze financial datasets and automate reporting knowledge of probability statistics plotly and careful data validation is preferred,Python|SQL|Excel|Plotly|Statistics|Probability|Data Quality,Programming Languages|Data Tools|Statistics and Math|Engineering and Cloud,7
12,People Analytics Intern,Evergreen People Labs,"Phoenix, AZ","Support workforce reporting with Excel and Power BI. Clean survey data, calculate descriptive statistics, and communicate sensitive results clearly and responsibly.",Synthetic starter dataset,8/23/2026,support workforce reporting with excel and power bi clean survey data calculate descriptive statistics and communicate sensitive results clearly and responsibly,Excel|Power BI|Statistics|Communication,Data Tools|Statistics and Math|Soft Skills,4
13,Data Visualization Intern,Blue Mesa Energy,"Hybrid - Phoenix, AZ","Create interactive dashboards with Tableau or Plotly and translate complex energy data into accessible stories. Python, SQL, design awareness, and presentation skills are useful.",Synthetic starter dataset,8/23/2026,create interactive dashboards with tableau or plotly and translate complex energy data into accessible stories python sql design awareness and presentation skills are useful,Python|SQL|Tableau|Plotly|Presentation,Programming Languages|Data Tools|Soft Skills,5
14,Junior Data Science Intern,Red Rock Insights,Remote,"Explore customer datasets in Jupyter using Python, pandas, NumPy, and matplotlib. Apply clustering or regression methods and share reproducible findings through GitHub.",Synthetic starter dataset,8/23/2026,explore customer datasets in jupyter using python pandas numpy and matplotlib apply clustering or regression methods and share reproducible findings through github,Python|Jupyter|Pandas|NumPy|Matplotlib|Clustering|Regression|Git,Programming Languages|Data Tools|Machine Learning|Statistics and Math|Engineering and Cloud,8
